seed,dt,error
0,1.1e-07,0.0035995401356013
1,1.1e-07,0.0020150926439295
2,1.1e-07,0.0024910286084283
3,1.1e-07,0.002454764431679
4,1.1e-07,0.0017846363923193
5,1.1e-07,0.0028823315772393
6,1.1e-07,0.0021238110559406
7,1.1e-07,0.0018860811392879
8,1.1e-07,0.0024003709127151
9,1.1e-07,0.0011419880428074
10,1.1e-07,0.0022465597434544
11,1.1e-07,0.0024966696439921
12,1.1e-07,0.0025986162740088
13,1.1e-07,0.0042406825716978
14,1.1e-07,0.0051659950911272
15,1.1e-07,0.0021416342250697
16,1.1e-07,0.0018621062866074
17,1.1e-07,0.0011651325088851
18,1.1e-07,0.0030806381958918
19,1.1e-07,0.0019566729520363
20,1.1e-07,0.0016105244785189
21,1.1e-07,0.0013474336272588
22,1.1e-07,0.0043491075260335
23,1.1e-07,0.002544797026925
24,1.1e-07,0.0024402693523135
25,1.1e-07,0.002314345698876
26,1.1e-07,0.0023458439334288
27,1.1e-07,0.0018813533970158
28,1.1e-07,0.0021969700759014
29,1.1e-07,0.0014640566540955
30,1.1e-07,0.0021410138311191
31,1.1e-07,0.0031970736917326
32,1.1e-07,0.002410862916883
33,1.1e-07,0.0018980457673281
34,1.1e-07,0.004035841177834
35,1.1e-07,0.001602989995156
36,1.1e-07,0.0023920305743092
37,1.1e-07,0.0022922654483244
38,1.1e-07,0.0026185333350763
39,1.1e-07,0.0031722527743171
40,1.1e-07,0.0037011601535575
41,1.1e-07,0.0024884250638235
42,1.1e-07,0.0027111056187058
43,1.1e-07,0.0026909455393625
44,1.1e-07,0.0029197495167929
45,1.1e-07,0.0021028805105738
46,1.1e-07,0.0031933504462341
47,1.1e-07,0.0028882031000476
48,1.1e-07,0.0019265217637064
49,1.1e-07,0.0030137698399963
0,1.93117038e-07,0.0032233695326997
1,1.93117038e-07,0.00583216333731
2,1.93117038e-07,0.0020817979204032
3,1.93117038e-07,0.0056102092918685
4,1.93117038e-07,0.0051917473828542
