Rkt4_Time,Rkt4_Error_w,Rkt4_Error_q,Euler_Time,Euler_Error_w,Euler_Error_q,Verlet_Time,Verlet_Error_w,Verlet_Error_q,Buss_Time,Buss_Error_w,Buss_Error_q,Johnson_Time,Johnson_Error_w,Johnson_Error_q,Fincham_Time,Fincham_Error_w,Fincham_Error_q,Omelyan_Time,Omelyan_Error_w,Omelyan_Error_q,Mercury_Time,Mercury_Error_w,Mercury_Error_q,SPIRAL_L_Time,SPIRAL_L_Error_w,SPIRAL_L_Error_q,SPIRAL_Time,SPIRAL_Error_w,SPIRAL_Error_q,SPIRAL_L_Time2,SPIRAL_L_Error_w2,SPIRAL_L_Error_q2,Rkt_Time,Rkt_Error_w,Rkt_Error_q
0.09998999999999393,4.788833010424734e-14,2.985389751536137e-14,0.09998999999999393,2.709645523640341e-6,1.031080867404232e-5,0.09998999999999393,1.3548226082447823e-6,1.7797285533941987e-7,0.09998999999999393,2.69214853681406e-6,3.5276347120344867e-7,0.09998999999999393,2.6921407933408487e-6,1.0608236769515766e-5,0.09998999999999393,3.087236429665897e-6,4.2021197463362854e-7,0.09998999999999393,6.682893640542737e-11,4.8548194855731095e-11,0.09998999999999393,2.6544501018630206e-6,8.559168708396603e-7,0.09998999999999393,5.647696158753416e-14,2.93728902132507e-11,0.09998999999999393,7.019566952897518e-14,2.344337470555346e-11,0.09998999999999393,1.6810885515813026e-11,2.923577673391458e-11,0.0,1.1232595164407832e-31,0.0
0.19998000000005922,6.744651363992706e-13,3.5029817046368047e-13,0.19998000000005922,2.7899868007324094e-6,1.9821250840335078e-5,0.19998000000005922,1.3949754555859035e-6,5.829708791440905e-7,0.19998000000005922,3.0645667805499713e-6,1.1484733032158667e-6,0.19998000000005922,3.064560552512219e-6,2.0823188295895735e-5,0.19998000000005922,3.937353069592126e-6,1.3619783573021428e-6,0.19998000000005922,5.45088745443023e-11,1.133905179407527e-10,0.19998000000005922,3.992940795578598e-6,3.6474658963455185e-6,0.19998000000005922,6.718545061665509e-13,4.742280861109415e-11,0.19998000000005922,6.726841825532739e-13,4.1235293636235456e-11,0.19998000000005922,3.49100461713431e-11,4.905243307966837e-11,0.10050251256281408,3.354051234036674e-30,0.0
0.2999700000001592,9.692651988874197e-13,1.381903804846233e-12,0.2999700000001592,4.182636535714093e-6,2.9147832252565797e-5,0.2999700000001592,2.0913131950034655e-6,1.1194374114500567e-6,0.2999700000001592,2.5519632049358852e-6,2.333364686988803e-6,0.2999700000001592,2.551995990098499e-6,3.076629848818388e-5,0.2999700000001592,4.950005597244409e-6,3.006823594615868e-6,0.2999700000001592,7.77403387852417e-11,2.962422922501809e-10,0.2999700000001592,1.1919234166904041e-5,1.2646033688436295e-5,0.2999700000001592,1.003255678215071e-12,6.615986877865962e-11,0.2999700000001592,9.943209795470602e-13,9.774343193305505e-11,0.2999700000001592,5.846291220863083e-11,8.21250887107284e-11,0.20100502512562815,1.4151584874249273e-29,0.0
0.3999600000002592,8.656298056776094e-13,2.823241089874176e-12,0.3999600000002592,4.403857064125837e-6,3.84859060314421e-5,0.3999600000002592,2.2019536403417687e-6,2.812630049653842e-6,0.3999600000002592,3.4595618546800148e-6,3.421644891988048e-6,0.3999600000002592,3.4596235837842292e-6,4.122410433065443e-5,0.3999600000002592,5.197918607036885e-6,5.291130302256452e-6,0.3999600000002592,7.592712420926317e-11,7.28491681038342e-10,0.3999600000002592,3.670729120758491e-5,4.48284658783422e-5,0.3999600000002592,8.740620643636946e-13,8.368884157851392e-11,0.3999600000002592,8.791299013379867e-13,1.9992008793707709e-10,0.3999600000002592,7.69172895401666e-11,1.5090173696802195e-10,0.3015075376884422,2.3610404610118304e-29,0.0
0.4999500000003592,3.021826170641038e-13,4.095212162475649e-12,0.4999500000003592,6.479942766890354e-6,5.029561119945e-5,0.4999500000003592,3.239804102571683e-6,4.868146979218971e-6,0.4999500000003592,3.078304072820344e-6,4.930068682165324e-6,0.4999500000003592,3.0784437286056593e-6,5.050139415265435e-5,0.4999500000003592,8.972876265903442e-6,7.001498164394415e-6,0.4999500000003592,1.429029175935473e-10,1.4181090558745237e-9,0.4999500000003592,7.016026511096002e-5,0.00010701393436211628,0.4999500000003592,2.6254655928204443e-13,8.04186314010433e-11,0.4999500000003592,2.819655346215532e-13,3.661097875704385e-10,0.4999500000003592,1.339084338734308e-10,2.387197279883504e-10,0.4020100502512563,8.098289468844186e-29,0.0
0.5999399999999044,1.4220012372913678e-12,2.157201454406392e-12,0.5999399999999044,9.888309620998659e-6,6.881545956445252e-5,0.5999399999999044,4.943847611419567e-6,5.148720126623725e-6,0.5999399999999044,2.7852149404810525e-6,4.642935452494724e-6,0.5999399999999044,2.7853563182266772e-6,6.456183936730299e-5,0.5999399999999044,1.0603165430977297e-5,8.165313495252199e-6,0.5999399999999044,2.1632110935685295e-10,2.9209295842311607e-9,0.5999399999999044,0.0001368878492936461,0.00019382999428760607,0.5999399999999044,1.4210782845364821e-12,7.275000128171997e-11,0.5999399999999044,1.4454762296628343e-12,5.05065902161522e-10,0.5999399999999044,2.0475028197754289e-10,3.0846024928092664e-10,0.5025125628140703,1.1867873630394435e-28,0.0
0.6999299999994494,2.733044812819511e-12,1.166514959545527e-11,0.6999299999994494,1.327334228712188e-5,8.302924579212872e-5,0.6999299999994494,6.63608578193288e-6,6.277440478464255e-6,0.6999299999994494,3.077937042894273e-6,1.9434969662014815e-6,0.6999299999994494,3.078221371362073e-6,7.73067909808719e-5,0.6999299999994494,1.1908517051579756e-5,1.2711249609204827e-5,0.6999299999994494,3.0764090218738004e-10,5.736981526225925e-9,0.6999299999994494,0.00013256630441791642,0.00046750616229902954,0.6999299999994494,2.6703030484731346e-12,9.78007848463305e-11,0.6999299999994494,2.732292837269249e-12,4.895017764280552e-10,0.6999299999994494,2.9670236942632024e-10,3.468973869880263e-10,0.6030150753768844,2.431466293400846e-28,0.0
0.7999199999989943,3.0895330156681258e-12,2.283069208286177e-11,0.7999199999989943,1.622652090867581e-5,9.536047862539521e-5,0.7999199999989943,8.112154850389845e-6,4.801512491697145e-6,0.7999199999989943,2.922737076932138e-6,1.9871773469183637e-6,0.7999199999989943,2.9231455493859658e-6,8.562512023406785e-5,0.7999199999989943,1.5448805028985336e-5,1.880522889729741e-5,0.7999199999989943,4.185881750034674e-10,9.506421721097287e-9,0.7999199999989943,6.389000571693041e-5,0.0005022786325648363,0.7999199999989943,3.0233024775753938e-12,1.438460826094547e-10,0.7999199999989943,3.085716359565627e-12,4.1185584612709217e-10,0.7999199999989943,4.09508529292047e-10,3.0854743370998716e-10,0.7035175879396985,3.8807165394900887e-28,0.0
0.8999099999985393,3.1496832678730694e-12,3.495536003847479e-11,0.8999099999985393,1.602345995091885e-5,9.57387803569721e-5,0.8999099999985393,8.011126251493921e-6,7.865893714964759e-6,0.8999099999985393,2.999756371029292e-6,4.712023216894118e-6,0.8999099999985393,3.0004802028769805e-6,9.442927383181874e-5,0.8999099999985393,2.2515649449844784e-5,2.4597188649522204e-5,0.8999099999985393,4.772732904392445e-10,1.4543805669552357e-8,0.8999099999985393,0.0001566665082929941,0.0004938860635047163,0.8999099999985393,3.0757474460391553e-12,1.331443773171336e-10,0.8999099999985393,3.2075060988940564e-12,6.619751806521026e-10,0.8999099999985393,4.7140914922027e-10,4.621321880534668e-10,0.8040201005025126,6.8480122122470585e-28,0.0
0.9998999999980842,3.5519585474268747e-12,4.96969645220443e-11,0.9998999999980842,2.6910510605636208e-5,0.0001239953499554925,0.9998999999980842,1.3452765952914451e-5,1.600483013724517e-5,0.9998999999980842,3.6545891347027293e-6,3.904704286025308e-6,0.9998999999980842,3.655722547012296e-6,0.00010735203100913998,0.9998999999980842,3.0346629740120836e-5,3.4822938995257315e-5,0.9998999999980842,7.413081572208018e-10,2.2329125732443615e-8,0.9998999999980842,0.00017162669888908658,0.0010327179933798866,0.9998999999980842,3.4416404974324416e-12,1.600254881803772e-10,0.9998999999980842,3.6259771996684636e-12,9.566647841145147e-10,0.9998999999980842,7.322131740920311e-10,7.246058307778953e-10,0.9045226130653267,1.3320454161470131e-27,0.0
