dt,mean_error,std_error
2.89675556e-06,0.0016552510149800757,0.004788608088516718
1.21848613e-06,0.0003727286531653574,0.0011203488536092603
4.85088067e-06,0.010686674740931438,0.010014945054357566
3.06069879e-07,2.7123431885437482e-05,0.00020984633467312198
1.93117038e-05,0.28740548140951866,0.13106872917859452
1.93117038e-07,1.0405060121441091e-05,0.00013431763899299462
4.96369887e-07,8.249707192964177e-05,0.000599223018983519
7.68812776e-08,2.087023393501116e-05,0.0001876635135122504
1.1e-07,1.6319995396995136e-05,0.0001334713859457679
8.96369887e-07,0.0003099952201523873,0.0020120001856289847
