dt,mean_error,std_error
7.68812776e-08,1.7259713298028457e-05,0.00017910978127020976
3.06069879e-07,4.273890992404205e-05,0.00032076262262081183
4.85088067e-06,0.010612729189473985,0.0057213348973090316
1.21848613e-06,0.0003269120954373434,0.0012114242861412502
1.93117038e-05,0.18117837602545223,0.10953797278878984
4.96369887e-07,9.426336980330654e-05,0.0006197605733523375
1.93117038e-07,1.687008220034403e-05,0.00018301604026488483
2.89675556e-06,0.0017405392298398862,0.0015131645950820579
8.96369887e-07,0.00035445088490422777,0.001966702192548058
1.1e-07,3.8798821533012564e-06,5.132720893068247e-05
