dt,mean_error,std_error
#7.68812776e-08,0.005284375438804356,0.003861430608919992
#3.06069879e-07,0.0006011767098556903,0.0005255205060817696
#1.21848613e-06,0.0004897012668056145,0.0022973042990613677
#4.85088067e-06,0.007334765369468634,0.011266427080212442
#1.93117038e-05,0.2759876805085302,0.2056728064861117
#4.96369887e-07,0.00047567672525084263,0.0010255441739960855
#8.96369887e-07,0.0006276982100330022,0.003259049793056542
#2.89675556e-06,0.0031191114230062576,0.016629600900193806
#1.93117038e-07,0.007296302335969522,0.006798554380907807
#1.1e-07,0.009253703172173878,0.009255767656668733
2.89675556e-06,0.001536651433709005,0.002061484106216388
4.85088067e-06,0.005153865332218745,0.007895028847437965
1.21848613e-06,0.0007324816706205804,0.0032585223658891313
1.93117038e-05,0.1331442140779245,0.09453048488352621
3.06069879e-07,9.03549438042506e-05,0.0006892140715136601
4.96369887e-07,0.00013405332695096164,0.0009819093328140714
1.93117038e-07,5.638759939770193e-05,0.00045025163424181617
8.96369887e-07,0.0001871144875792337,0.0008735980123675938
1.1e-07,1.8624252410159976e-05,0.00016188669282321777
7.68812776e-08,1.9858320472643182e-05,0.0002486369758420665
