t,total,kinTrans,kinRot
1.0954451150139255,631.4309245036587299,429.1363540565635617,202.2945704470951966
2.1908902300242104,641.9149661204191943,409.0681176138364208,232.8468485065828304
3.2863353449978248,630.6748700820321574,435.5387500112396992,195.1361200707924866
4.3817804600023935,644.9870327767710023,457.1522578592052923,187.8347749175656816
5.4772255750648258,657.2091269086286047,310.0979556480565407,347.1111712605720641
6.5726706901272580,575.8875181364826403,421.7695264087722649,154.1179917277104039
7.6681158051896903,657.1255243140662969,417.2576987218866975,239.8678255921796278
8.7635609201283042,636.5928708950197006,473.1578673858153934,163.4350035092043072
9.8590060350131008,636.2412831797636272,447.9810457477174737,188.2602374320461820
10.9544511498978974,633.8386186924436743,362.0846329122888392,271.7539857801548351
12.0498962647826939,641.8687085244802120,430.4290458815614784,211.4396626429187336
13.1453413796674905,618.1295735983221675,403.4762719820881216,214.6533016162340175
14.2407864945522871,648.8490923671120072,468.5390039787995420,180.3100883883124084
15.3362316094370836,643.7338987063501463,448.3845461210380563,195.3493525853120332
16.4316767243218820,660.9471333508504358,435.8604544527623261,225.0866788980881097
17.5271218392066785,620.8830677593050495,464.8964337044631634,155.9866340548418293
18.6225669540914751,626.8498785939292475,377.4641633230613138,249.3857152708679621
19.7180120689762717,597.7599741833799953,323.6970632937582195,274.0629108896217758
20.8134571838610682,635.0296738545466724,469.0519496503839605,165.9777242041627403
21.9089022987458648,638.7443494773575594,447.1188324870303177,191.6255169903272133
23.0043474136306614,633.4576494143163927,387.9876064856758262,245.4700429286405381
24.0997925285154579,650.3210940382172112,493.1560438179863581,157.1650502202308246
25.1952376434002545,664.3991018259821431,366.3939375420491729,298.0051642839330270
26.2906827582850511,634.6979032408579542,461.6550126340594602,173.0428906067985224
27.3861278731698476,634.7142168579915733,456.9629383218540966,177.7512785361374767
28.4815729880546442,677.3276179629806393,462.1576784551177184,215.1699395078629493
29.5770181029394408,647.5866021982311622,438.7123566748184089,208.8742455234127817
30.6724632178242373,605.3188056539941044,427.6555622995626891,177.6632433544313585
31.7679083327090339,624.2683932967831879,378.8390437152731920,245.4293495815100528
32.8633534481538305,652.7627990539007214,376.2910355712614887,276.4717634826392327
33.9587985637491698,635.0774723778051793,388.1414161081301586,246.9360562696749923
35.0542436793445091,666.8756030088155740,437.3950923171091745,229.4805106917063711
36.1496887949398484,649.5887312422619289,378.6917584664640799,270.8969727757979058
37.2451339105351877,635.5257387564635110,400.2850991107149525,235.2406396457485585
38.3405790261305270,660.5556798113768764,417.4567333123894173,243.0989464989874591
39.4360241417258663,663.1648298515090119,455.9994125919541261,207.1654172595549426
40.5314692573212056,642.1282299702075989,394.6001717023834203,247.5280582678242070
41.6269143729165449,580.9915801769516293,387.2845423438576518,193.7070378330940343
42.7223594885118843,609.6029358052642237,385.5508471098730752,224.0520886953911486
43.8178046041072236,630.6217122153202581,375.9796294031157231,254.6420828122045066
44.9132497197025629,619.5420180660770484,420.6668439883910082,198.8751740776860686
46.0086948352979022,644.7763700125846071,455.1489282245605636,189.6274417880240719
47.1041399508932415,623.1422125228425557,442.5942144313215181,180.5479980915210660
48.1995850664885808,669.6401113444489965,466.0219487606472057,203.6181625838017339
49.2950301820839201,632.0578223835627796,472.8553340505676488,159.2024883329951876
50.3904752976792594,641.8067185809850344,433.6657902390097661,208.1409283419752967
51.4859204132745987,631.4630914830830761,401.0920033794064921,230.3710881036766125
52.5813655288699380,633.0744692737595187,465.6904238680814956,167.3840454056780231
53.6768106444652773,657.7969950903345762,441.7744097391599212,216.0225853511746550
54.7722557600606166,646.7319449307552759,476.7979319112579333,169.9340130194973710
55.8677008756559559,659.6431517134236628,489.0956380008268525,170.5475137125968104
56.9631459912512952,657.9317735112630317,393.4843353180364147,264.4474381932266169
58.0585911068466345,655.8794075162236368,449.9522733097986134,205.9271342064249950
59.1540362224419738,628.5276767773710844,370.9450536693844924,257.5826231079865920
60.2494813380373131,642.1020564753803228,423.4004276326586478,218.7016288427216466
61.3449264536326524,635.8375890277906137,364.8005950828789992,271.0369939449116146
62.4403715692279917,641.2220445089965324,372.3999921779744113,268.8220523310221779
63.5358166848233310,622.5948928777917217,329.0872763389266424,293.5076165388650793
64.6312617995997556,651.4629233974548015,420.2874871014437872,231.1754362960110427
65.7267069137740094,651.5364450373873524,435.3229120685182352,216.2135329688690888
66.8221520279482633,643.7565829660202326,383.3394541275386018,260.4171288384815739
67.9175971421225171,630.3093528186888079,398.9140878612666938,231.3952649574220857
69.0130422562967709,626.0749848587574888,320.1388139588966624,305.9361708998607696
70.1084873704710247,620.7262221693403035,387.6609725822465862,233.0652495870937173
71.2039324846452786,641.5945930896313030,370.0072808831277484,271.5873122065035545
72.2993775988195324,637.7409189880614804,383.4625242769594706,254.2783947111019813
73.3948227129937862,651.5422664667356685,436.5602380548323822,214.9820284119032578
74.4902678271680401,634.1344273269862697,420.7214586495440471,213.4129686774421941
75.5857129413422939,662.7175266428328086,463.5077472272834598,199.2097794155494057
76.6811580555165477,638.8330039630789088,432.5232140762777249,206.3097898868011839
77.7766031696908016,652.5565070979491793,403.9290931965657023,248.6274139013835054
78.8720482838650554,638.4045559902724563,447.7609568433115328,190.6435991469609803
79.9674933980393092,656.0036070707499221,454.7453868797039718,201.2582201910458934
81.0629385122135631,647.8153907842547596,481.6113174718885261,166.2040733123662619
82.1583836263878169,620.9777454092750304,374.5068071703891519,246.4709382388859353
83.2538287405620707,633.3415035806043534,436.1845838074254971,197.1569197731788847
84.3492738547363246,657.0756411051463601,435.5509930900739164,221.5246480150724437
