dt,RKq,Eulerq,Verletq,Bussq,Johnsonq,Finchamq,Omelyanq,MercuryDPMq,SPIRALLq,SPIRALq,SPIRALOq,RKw,Eulerw,Verletw,Bussw,Johnsonw,Finchamw,Omelyanw,MercuryDPMw,SPIRALLw,SPIRALw,SPIRALOw
0.0001438449888287663,5.775745957233372e-12,0.001768932778596108,0.00022128249591188512,5.598583813916988e-5,0.0015430520359861252,0.0005006089250591279,4.629323430492081e-6,0.014749488990701273,3.643939118810684e-8,1.9209667738925692e-7,1.58140888845401e-7,3.9522907961995245e-13,0.000388921827416198,0.00019394481358845495,5.234402946282649e-5,5.257853609422414e-5,0.00043384594798046727,1.5308465644015593e-7,0.0024830056848616703,1.9526962662188663e-10,1.953409737624325e-10,1.5119340171326894e-7
0.00029763514416313193,5.814753965126076e-11,0.0036243358939226757,0.00043691729155515496,0.00011565484857053754,0.0031887264893187273,0.0010355012906655477,1.9808863950377653e-5,0.030295403885861997,1.570340248867557e-7,8.224887333448994e-7,6.799121301602358e-7,2.0601963264141028e-12,0.0008086698307602959,0.0004021230553922645,0.0001077547364560682,0.00010875849301383287,0.0008912814557366727,6.535356535942611e-7,0.005182664704726335,1.725132956046932e-9,1.726745000749568e-9,6.454404049439502e-7
0.0006158482110660261,1.0448943724618702e-9,0.007345778869585822,0.000935162203791988,0.00023855548382180927,0.006580121729860573,0.0021415852140182845,8.470871010300403e-5,0.061790969075905075,6.815358264820579e-7,3.5222282144110087e-6,2.936541572525721e-6,3.4889998751459123e-11,0.00168997428095232,0.0008355015481894472,0.00022058599477433656,0.00022488154819489894,0.0018170979307601557,2.7806263802078213e-6,0.010904418694510176,1.5234961105362112e-8,1.5265452422404796e-8,2.7459856668365674e-6
0.0012742749857031334,1.9071802675529147e-8,0.014543607159972794,0.0027084590956579723,0.0004904799686981052,0.013537657119828565,0.004429737675845043,0.00036174935615953114,0.12453296621781511,3.0002324433809816e-6,1.50883410100282e-5,1.2800352576077627e-5,6.363353008889871e-10,0.0035677398342471903,0.0017431753887254854,0.00044620936605134574,0.0004645903492832381,0.0036469141872694276,1.1739356358838699e-5,0.023215227248723613,1.3403032447113616e-7,1.3463150657244664e-7,1.1591250346086143e-5
0.0026366508987303583,3.5070959958376084e-7,0.02736770052113265,0.008866607418347987,0.0009622552172229913,0.027900016041956754,0.009128073717953473,0.0015483711473189704,0.22881146205682476,1.3364379905127945e-5,6.318397404650148e-5,5.6164620715687576e-5,1.1652383580093833e-8,0.007768383304768115,0.0037047255124210763,0.000882358701631686,0.0009614851308185745,0.00711101466086799,4.9489391058755683e-5,0.04937539743760189,1.1796635026503763e-6,1.191408802762493e-6,4.885615655771097e-5
0.00545559478116852,6.358805660164812e-6,0.04559013155801233,0.03211044990934777,0.001856285996889265,0.05713004661885755,0.019012557284062113,0.006575987669082176,0.42969509145288526,6.273077063991912e-5,0.0002646412990500717,0.000255138062547877,2.1009155054938923e-7,0.01754053103824126,0.007996077378999785,0.001643288851608716,0.0019869302820510913,0.013025649041852464,0.00019852776670870539,0.12295385136964468,1.0138214213123265e-5,1.0397235365985362e-5,0.00019584090283155243
0.011288378916846888,0.00011052462024161747,0.06405680561996324,0.12667449138177722,0.0036445097931685844,0.13169243705805098,0.04077038293856187,0.027985107753087338,0.9484454827711274,0.0003265965675931413,0.001129126327029569,0.0012369590119201304,3.5173233609206594e-6,0.03936765682659908,0.017146330468272835,0.0025749782344718568,0.0040967963552784314,0.020856481489957834,0.0008074767665285488,0.6888273274229045,7.798923752728795e-5,8.475156092848994e-5,0.0008030983492580219
0.023357214690901226,0.0017774753095422958,0.2217782980395621,0.46920007583385076,0.005186394100952332,0.3231878543913948,0.08008563600358273,0.11338762078378493,1.4975058234761682,0.0013603140032736828,0.003305083219038779,0.004912690389464031,5.055251935185764e-5,0.14180426612890046,0.03843687437972116,0.002699594973678339,0.008279196995771614,0.024112603924246533,0.004293912991607055,1.2955766414876093,0.0006531967372296907,0.0005738276974122409,0.004258471657073286
0.04832930238571752,0.0235521173707814,0.927664302445989,1.1603094020967217,0.007427553544549494,0.5400310942710815,0.13465943820526888,0.4160940687953142,1.4025684206011757,0.005576884104500351,0.009294311718177675,0.01715781850661089,0.0011078532238949035,0.41726866187442674,0.14639148003160807,0.008707645751606308,0.0165711747067607,0.0364292402480091,0.014325912982672757,0.7031959778397691,0.005036980133539313,0.006002733108291358,0.014339377693183887
0.1,0.0336602284067189,2.551285890081694,2.012977765226062,0.016082191241428775,0.24419562460158514,0.43947288796323547,1.7479102960003543,1.5331980042159454,0.031312894747727194,0.0326561592451687,0.04449282764592446,0.01780070677481563,1.1500986008802605,0.5363999724273624,0.03541970819306923,0.03532690650233755,0.036180557556494755,0.04027662138887238,2.115205200292997,0.0389484136974191,0.04409283684310857,0.040244206902074635
