t,total,kinTrans,kinRot
3.2863353450163966,578.2924271479364506,314.8790905325604967,263.4133366153759539
6.5726706900260581,655.8297539804552798,417.8737226182684594,237.9560313621868488
9.8590060350357192,618.8171536096069758,354.9276763154014134,263.8894772942055624
13.1453413800453802,635.2783322539262372,451.2978446019496914,183.9804876519765742
16.4316767251017097,604.3334186930479746,418.6686098452183273,185.6648088478296472
19.7180120704666422,628.1907703999154364,434.1843796256934525,194.0063907742220408
23.0043474158315746,647.9476155930561845,400.6453866552593581,247.3022289377967979
26.2906827611965070,621.5402610322528290,396.7452354573433695,224.7950255749094879
29.5770181065614395,644.2867633818266313,510.3820007576662761,133.9047626241604121
32.8633534519263719,660.5389679098695979,474.9259904307079410,185.6129774791617137
36.1496887972913044,633.8818659001469769,419.3121465089016624,214.5697193912453713
39.4360241426562368,644.5060129935829991,495.4949787211057810,149.0110342724772750
42.7223594880211692,588.3849731066230788,370.1013666966373421,218.2836064099857367
46.0086948333861017,633.6363219971060516,374.4636058792805215,259.1727161178254732
49.2950301787510341,648.7833110423008520,396.2149719470954778,252.5683390952053458
52.5813655241159665,618.0138306146909599,322.5482768058145666,295.4655538088764501
55.8677008694808990,672.0372456276660387,471.6473216481726922,200.3899239794933465
59.1540362148458314,605.5707741030495299,370.3776754876828363,235.1930986153667220
62.4403715602107638,631.0758509402683103,397.1167038668083364,233.9591470734600307
65.7267069055756963,623.8799151488017287,364.6201993330234359,259.2597158157783497
69.0130422509406287,642.1786787661395692,444.5656974937092514,197.6129812724302894
72.2993775963055612,631.6540138027260127,425.7177624402604010,205.9362513624655833
75.5857129416704936,668.7272875270456325,479.4960809913520734,189.2312065356935591
78.8720482870354260,662.5838863009302031,464.0662079589721429,198.5176783419580886
82.1583836324003585,646.4393074564065955,418.7928712948880730,227.6464361615184941
85.4447189777652909,641.6222954967979604,409.8678676676687473,231.7544278291292130
88.7310543231302233,640.6456132580092344,438.2100796163681480,202.4355336416410296
92.0173896684951558,665.3053225230225962,408.6549668978692011,256.6503556251534519
95.3037250138600882,632.2927470586965910,378.1308290804697094,254.1619179782269100
98.5900603592250206,621.3985145708199980,382.0566939885214310,239.3418205822986238
101.8763957045899531,576.6642627612072829,413.2812337748363234,163.3830289863709879
105.1627310499548855,625.7505382653646393,394.7587867179130967,230.9917515474515710
108.4490663953198180,646.9686697517246330,446.0144865682062232,200.9541831835184382
111.7354017406847504,631.0097601250017760,426.7841701119521076,204.2255900130497253
115.0217370860496828,637.3890586282088861,347.3805823854991672,290.0084762427097189
118.3080724314146153,661.0176033043721873,491.2666372963582262,169.7509660080139042
121.5944077767795477,640.4390665153550799,369.8881337123962112,270.5509328029588119
124.8807431221444801,635.9767574454765509,392.7151491506329535,243.2616082948436258
128.1670784675094126,652.0889622511082280,450.3007381349577827,201.7882241161504453
131.4534138128743450,618.2041074289165863,430.7948672207986647,187.4092402081178932
134.7397491582392774,658.8610763224462517,486.8597324117704375,172.0013439106757573
138.0260845036042099,606.8410652419522648,352.7883868299767300,254.0526784119755064
141.3124198489691423,621.4743382911176468,398.5067719424988013,222.9675663486188171
144.5987551943340748,597.5278376860683238,384.0662730631124191,213.4615646229559616
147.8850905396990072,650.4110548936871510,476.7081719413225755,173.7028829523646039
151.1714258850639396,662.2404989385859153,479.9081484332091918,182.3323505053766667
154.4577612304288721,669.3489759641622641,501.6163280988095039,167.7326478653527602
157.7440965757938045,648.2542070216285310,469.2147456285530893,179.0394613930754133
161.0304319211587369,631.6071782422636716,428.0429503022031668,203.5642279400604480
164.3167672665236694,652.0008649601566049,420.5591827486040870,231.4416822115525747
167.6031026118886018,654.3410933752701339,486.4438570463757401,167.8972363288943654
170.8894379572535343,633.1313202212479609,380.0797035675391271,253.0516166537088054
174.1757733026184667,664.1692334029819449,432.1556608489669316,232.0135725540150702
177.4621086479833991,633.2752748292216438,451.3928963819150795,181.8823784473066212
180.7484439933483316,578.6974176954186078,402.7606773707817069,175.9367403246369008
184.0347793387132640,640.6263672392620947,458.3124446826722078,182.3139225565898585
187.3211146840781964,634.4616948813006729,464.3024220825980137,170.1592727987026308
190.6074500294431289,672.9908108770755462,435.4271329219903919,237.5636779550851543
193.8937853748080613,616.0242374898534763,390.9923775827566033,225.0318599070968730
197.1801207201729937,650.4625020743184223,401.8411655528096844,248.6213365215087379
200.4664560655379262,644.3754604360819940,441.2597108494609301,203.1157495866210070
203.7527914109028586,600.2311735245011732,349.2660576694383963,250.9651158550627770
207.0391267562677911,594.3892874522016427,420.9503688089085927,173.4389186432930217
210.3254621016327235,582.1504186882082195,380.8300345835858707,201.3203841046223772
213.6117974469976559,629.0590069913838533,422.0644993028652721,206.9945076885186097
216.8981327923625884,646.5261495979950723,404.6921660469371318,241.8339835510579690
220.1844681377275208,638.7050628770966796,396.5773209317131887,242.1277419453835478
223.4708034830924532,626.5054153863594593,436.2756909113174402,190.2297244750419907
226.7571388284573857,617.0950233305408119,353.0724476846391440,264.0225756459016679
230.0434741738223181,617.7422704204466299,404.9587626358608645,212.7835077845857086
233.3298095191872505,648.7495607724993079,437.0818664095241957,211.6676943629751690
236.6161448645521830,647.7935171533808898,433.5890837832536704,214.2044333701272194
239.9024802099171154,647.4771265115059578,454.8270574241741429,192.6500690873318433
243.1888155552820479,656.9070655955090388,462.4007817268784493,194.5062838686306179
246.4751509006469803,625.6191739233076987,359.3790338284533732,266.2401400948543824
249.7614862460119127,641.9606146016819821,404.8392122773360597,237.1214023243459508
