Time_Fincham,Fincham,Fincham_error,Time_Omelyan,Omelyan,Omelyan_error,Time_SPIRAL,SPIRAL,SPIRAL_error
1.1e-07,0.002512521505359314,0.0008148070317854276,1.1e-07,7.2361556744338115e-06,6.436217561289856e-06,1.1e-07,2.0644273815417756e-06,1.9846821387472203e-06
1.93117038e-07,0.004405975698716138,0.0013230722745263622,1.93117038e-07,5.94854525606779e-06,6.2765702633425854e-06,1.93117038e-07,3.708664746946305e-06,3.220735407997049e-06
3.06069879e-07,0.006808167251839602,0.001727660016680984,3.06069879e-07,9.610968668897684e-06,7.119916999861586e-06,3.06069879e-07,8.754717128896152e-06,8.803385058590084e-06
4.96369887e-07,0.011352727429255359,0.0036582270587830136,4.96369887e-07,3.833364868226294e-05,3.042148203498464e-05,4.96369887e-07,2.892393071157527e-05,2.3047725353534762e-05
8.96369887e-07,0.020038178121824828,0.007439540973641702,8.96369887e-07,0.00015084843966336388,0.00011117191506370767,8.96369887e-07,0.0001268568067505051,0.00011254795859658555
1.21848613e-06,0.025517418194023925,0.008493681071976402,1.21848613e-06,0.00026177729489882377,0.00015364880938795297,1.21848613e-06,0.0002830008810701833,0.00020937912676302056
2.89675556e-06,0.06213274944908153,0.019774898449288494,2.89675556e-06,0.001805947016553144,0.001152541225346632,2.89675556e-06,0.001879952022789354,0.0011898441598958635
4.85088067e-06,0.1204624372568682,0.033767009360470654,4.85088067e-06,0.0067853532323766345,0.003617540518858048,4.85088067e-06,0.0054073304745993625,0.004259127209481048
8.85088067e-06,0.2091022691141973,0.0781268376189684,8.85088067e-06,0.02651592670275108,0.020310058135108444,8.85088067e-06,0.027542657742037943,0.018270845735313224
1.93117038e-05,0.5977966476836756,0.2765295979244666,1.93117038e-05,0.17415983396585272,0.12075038215350764,1.93117038e-05,0.21783179310911852,0.15044706926693763
