dt,mean_error,std_error
1.21848613e-06,0.03541275329629978,0.02961739990561135
4.85088067e-06,0.08953361161830961,0.06240319064719855
1.93117038e-05,0.5932428524315041,0.5613615593191067
3.06069879e-07,0.007233245175339356,0.006194731435132216
7.68812776e-08,0.0026136627522769383,0.002288962966104033
8.96369887e-07,0.01639067760451587,0.013868896272770064
4.96369887e-07,0.007844192581629456,0.006580833178299519
2.89675556e-06,0.11251352586981393,0.09861362744719185
1.93117038e-07,0.004451386981814985,0.0036748475788233835
1.1e-07,0.0029103601973676854,0.0025439942115852783
