dt integration_type
1.1e-07 "Fincham1992"
1.93117038e-07 "Fincham1992"
4.96369887e-07 "Fincham1992"
8.96369887e-07 "Fincham1992"
2.89675556e-06 "Fincham1992"
1.1e-07 "Omelyan1998"
1.93117038e-07 "Omelyan1998"
4.96369887e-07 "Omelyan1998"
8.96369887e-07 "Omelyan1998"
2.89675556e-06 "Omelyan1998"
1.1e-07 "delValle2023"
1.93117038e-07 "delValle2023"
4.96369887e-07 "delValle2023"
8.96369887e-07 "delValle2023"
2.89675556e-06 "delValle2023"
