seed dt integration_type
14 4.96369887e-07 "Fincham1992"
15 4.96369887e-07 "Fincham1992"
16 4.96369887e-07 "Fincham1992"
17 4.96369887e-07 "Fincham1992"
18 4.96369887e-07 "Fincham1992"
19 4.96369887e-07 "Fincham1992"
20 4.96369887e-07 "Fincham1992"
21 4.96369887e-07 "Fincham1992"
22 4.96369887e-07 "Fincham1992"
23 4.96369887e-07 "Fincham1992"
24 4.96369887e-07 "Fincham1992"
25 4.96369887e-07 "Fincham1992"
26 4.96369887e-07 "Fincham1992"
27 4.96369887e-07 "Fincham1992"
28 4.96369887e-07 "Fincham1992"
29 4.96369887e-07 "Fincham1992"
30 4.96369887e-07 "Fincham1992"
31 4.96369887e-07 "Fincham1992"
32 4.96369887e-07 "Fincham1992"
33 4.96369887e-07 "Fincham1992"
34 4.96369887e-07 "Fincham1992"
35 4.96369887e-07 "Fincham1992"
36 4.96369887e-07 "Fincham1992"
37 4.96369887e-07 "Fincham1992"
38 4.96369887e-07 "Fincham1992"
39 4.96369887e-07 "Fincham1992"
40 4.96369887e-07 "Fincham1992"
41 4.96369887e-07 "Fincham1992"
42 4.96369887e-07 "Fincham1992"
43 4.96369887e-07 "Fincham1992"
44 4.96369887e-07 "Fincham1992"
45 4.96369887e-07 "Fincham1992"
46 4.96369887e-07 "Fincham1992"
47 4.96369887e-07 "Fincham1992"
48 4.96369887e-07 "Fincham1992"
49 4.96369887e-07 "Fincham1992"
0 8.96369887e-07 "Fincham1992"
1 8.96369887e-07 "Fincham1992"
2 8.96369887e-07 "Fincham1992"
3 8.96369887e-07 "Fincham1992"
4 8.96369887e-07 "Fincham1992"
5 8.96369887e-07 "Fincham1992"
6 8.96369887e-07 "Fincham1992"
7 8.96369887e-07 "Fincham1992"
8 8.96369887e-07 "Fincham1992"
9 8.96369887e-07 "Fincham1992"
10 8.96369887e-07 "Fincham1992"
11 8.96369887e-07 "Fincham1992"
12 8.96369887e-07 "Fincham1992"
13 8.96369887e-07 "Fincham1992"
14 8.96369887e-07 "Fincham1992"
15 8.96369887e-07 "Fincham1992"
16 8.96369887e-07 "Fincham1992"
17 8.96369887e-07 "Fincham1992"
18 8.96369887e-07 "Fincham1992"
19 8.96369887e-07 "Fincham1992"
20 8.96369887e-07 "Fincham1992"
21 8.96369887e-07 "Fincham1992"
22 8.96369887e-07 "Fincham1992"
23 8.96369887e-07 "Fincham1992"
24 8.96369887e-07 "Fincham1992"
25 8.96369887e-07 "Fincham1992"
26 8.96369887e-07 "Fincham1992"
27 8.96369887e-07 "Fincham1992"
28 8.96369887e-07 "Fincham1992"
29 8.96369887e-07 "Fincham1992"
30 8.96369887e-07 "Fincham1992"
31 8.96369887e-07 "Fincham1992"
32 8.96369887e-07 "Fincham1992"
33 8.96369887e-07 "Fincham1992"
34 8.96369887e-07 "Fincham1992"
35 8.96369887e-07 "Fincham1992"
36 8.96369887e-07 "Fincham1992"
37 8.96369887e-07 "Fincham1992"
38 8.96369887e-07 "Fincham1992"
39 8.96369887e-07 "Fincham1992"
40 8.96369887e-07 "Fincham1992"
41 8.96369887e-07 "Fincham1992"
42 8.96369887e-07 "Fincham1992"
43 8.96369887e-07 "Fincham1992"
44 8.96369887e-07 "Fincham1992"
45 8.96369887e-07 "Fincham1992"
46 8.96369887e-07 "Fincham1992"
47 8.96369887e-07 "Fincham1992"
48 8.96369887e-07 "Fincham1992"
49 8.96369887e-07 "Fincham1992"
0 1.21848613e-06 "Fincham1992"
1 1.21848613e-06 "Fincham1992"
2 1.21848613e-06 "Fincham1992"
3 1.21848613e-06 "Fincham1992"
4 1.21848613e-06 "Fincham1992"
5 1.21848613e-06 "Fincham1992"
6 1.21848613e-06 "Fincham1992"
7 1.21848613e-06 "Fincham1992"
8 1.21848613e-06 "Fincham1992"
9 1.21848613e-06 "Fincham1992"
10 1.21848613e-06 "Fincham1992"
11 1.21848613e-06 "Fincham1992"
12 1.21848613e-06 "Fincham1992"
13 1.21848613e-06 "Fincham1992"
14 1.21848613e-06 "Fincham1992"
15 1.21848613e-06 "Fincham1992"
16 1.21848613e-06 "Fincham1992"
17 1.21848613e-06 "Fincham1992"
18 1.21848613e-06 "Fincham1992"
19 1.21848613e-06 "Fincham1992"
20 1.21848613e-06 "Fincham1992"
21 1.21848613e-06 "Fincham1992"
22 1.21848613e-06 "Fincham1992"
23 1.21848613e-06 "Fincham1992"
24 1.21848613e-06 "Fincham1992"
25 1.21848613e-06 "Fincham1992"
26 1.21848613e-06 "Fincham1992"
27 1.21848613e-06 "Fincham1992"
28 1.21848613e-06 "Fincham1992"
29 1.21848613e-06 "Fincham1992"
30 1.21848613e-06 "Fincham1992"
31 1.21848613e-06 "Fincham1992"
32 1.21848613e-06 "Fincham1992"
33 1.21848613e-06 "Fincham1992"
34 1.21848613e-06 "Fincham1992"
35 1.21848613e-06 "Fincham1992"
36 1.21848613e-06 "Fincham1992"
37 1.21848613e-06 "Fincham1992"
38 1.21848613e-06 "Fincham1992"
39 1.21848613e-06 "Fincham1992"
40 1.21848613e-06 "Fincham1992"
41 1.21848613e-06 "Fincham1992"
42 1.21848613e-06 "Fincham1992"
43 1.21848613e-06 "Fincham1992"
44 1.21848613e-06 "Fincham1992"
45 1.21848613e-06 "Fincham1992"
46 1.21848613e-06 "Fincham1992"
47 1.21848613e-06 "Fincham1992"
48 1.21848613e-06 "Fincham1992"
49 1.21848613e-06 "Fincham1992"
0 2.89675556e-06 "Fincham1992"
1 2.89675556e-06 "Fincham1992"
2 2.89675556e-06 "Fincham1992"
3 2.89675556e-06 "Fincham1992"
4 2.89675556e-06 "Fincham1992"
5 2.89675556e-06 "Fincham1992"
6 2.89675556e-06 "Fincham1992"
7 2.89675556e-06 "Fincham1992"
8 2.89675556e-06 "Fincham1992"
9 2.89675556e-06 "Fincham1992"
10 2.89675556e-06 "Fincham1992"
11 2.89675556e-06 "Fincham1992"
12 2.89675556e-06 "Fincham1992"
13 2.89675556e-06 "Fincham1992"
14 2.89675556e-06 "Fincham1992"
15 2.89675556e-06 "Fincham1992"
16 2.89675556e-06 "Fincham1992"
17 2.89675556e-06 "Fincham1992"
18 2.89675556e-06 "Fincham1992"
19 2.89675556e-06 "Fincham1992"
20 2.89675556e-06 "Fincham1992"
21 2.89675556e-06 "Fincham1992"
22 2.89675556e-06 "Fincham1992"
23 2.89675556e-06 "Fincham1992"
24 2.89675556e-06 "Fincham1992"
25 2.89675556e-06 "Fincham1992"
26 2.89675556e-06 "Fincham1992"
27 2.89675556e-06 "Fincham1992"
28 2.89675556e-06 "Fincham1992"
29 2.89675556e-06 "Fincham1992"
30 2.89675556e-06 "Fincham1992"
31 2.89675556e-06 "Fincham1992"
32 2.89675556e-06 "Fincham1992"
33 2.89675556e-06 "Fincham1992"
34 2.89675556e-06 "Fincham1992"
35 2.89675556e-06 "Fincham1992"
36 2.89675556e-06 "Fincham1992"
37 2.89675556e-06 "Fincham1992"
38 2.89675556e-06 "Fincham1992"
39 2.89675556e-06 "Fincham1992"
40 2.89675556e-06 "Fincham1992"
41 2.89675556e-06 "Fincham1992"
42 2.89675556e-06 "Fincham1992"
43 2.89675556e-06 "Fincham1992"
44 2.89675556e-06 "Fincham1992"
45 2.89675556e-06 "Fincham1992"
46 2.89675556e-06 "Fincham1992"
47 2.89675556e-06 "Fincham1992"
48 2.89675556e-06 "Fincham1992"
49 2.89675556e-06 "Fincham1992"
0 4.85088067e-06 "Fincham1992"
1 4.85088067e-06 "Fincham1992"
2 4.85088067e-06 "Fincham1992"
3 4.85088067e-06 "Fincham1992"
4 4.85088067e-06 "Fincham1992"
5 4.85088067e-06 "Fincham1992"
6 4.85088067e-06 "Fincham1992"
7 4.85088067e-06 "Fincham1992"
8 4.85088067e-06 "Fincham1992"
9 4.85088067e-06 "Fincham1992"
10 4.85088067e-06 "Fincham1992"
11 4.85088067e-06 "Fincham1992"
12 4.85088067e-06 "Fincham1992"
13 4.85088067e-06 "Fincham1992"
14 4.85088067e-06 "Fincham1992"
15 4.85088067e-06 "Fincham1992"
16 4.85088067e-06 "Fincham1992"
17 4.85088067e-06 "Fincham1992"
18 4.85088067e-06 "Fincham1992"
19 4.85088067e-06 "Fincham1992"
20 4.85088067e-06 "Fincham1992"
21 4.85088067e-06 "Fincham1992"
22 4.85088067e-06 "Fincham1992"
23 4.85088067e-06 "Fincham1992"
24 4.85088067e-06 "Fincham1992"
25 4.85088067e-06 "Fincham1992"
26 4.85088067e-06 "Fincham1992"
27 4.85088067e-06 "Fincham1992"
28 4.85088067e-06 "Fincham1992"
29 4.85088067e-06 "Fincham1992"
30 4.85088067e-06 "Fincham1992"
31 4.85088067e-06 "Fincham1992"
32 4.85088067e-06 "Fincham1992"
33 4.85088067e-06 "Fincham1992"
34 4.85088067e-06 "Fincham1992"
35 4.85088067e-06 "Fincham1992"
36 4.85088067e-06 "Fincham1992"
37 4.85088067e-06 "Fincham1992"
38 4.85088067e-06 "Fincham1992"
39 4.85088067e-06 "Fincham1992"
40 4.85088067e-06 "Fincham1992"
41 4.85088067e-06 "Fincham1992"
